S12A2_HUMAN	P55011
EI2BB_HUMAN	P49770
STABP_HUMAN	O95630
IFIT5_HUMAN	Q13325
PCDH9_HUMAN	Q9HC56
SMYD3_HUMAN	Q9H7B4
HCFC1_HUMAN	P51610
GDE_HUMAN	P35573
SRPRA_HUMAN	P08240
VATB2_HUMAN	P21281
VATB1_HUMAN	P15313
NPC2_HUMAN	P61916
ACACA_HUMAN	Q13085
STA13_HUMAN	Q9Y3M8
MPRD_HUMAN	P20645
CUL5_HUMAN	Q93034
EMC7_HUMAN	Q9NPA0
PGP_HUMAN	A6NDG6
WDR13_HUMAN	Q9H1Z4
KTI12_HUMAN	Q96EK9
PRAF3_HUMAN	O75915
FKBP5_HUMAN	Q13451
A16A1_HUMAN	Q8IZ83
MYO1D_HUMAN	O94832
MA2B2_HUMAN	Q9Y2E5
TMOD1_HUMAN	P28289
COASY_HUMAN	Q13057
PTPRJ_HUMAN	Q12913
RAB2A_HUMAN	P61019
GNAZ_HUMAN	P19086
MAON_HUMAN	Q16798
KAD3_HUMAN	Q9UIJ7
LAMC3_HUMAN	Q9Y6N6
DNJC2_HUMAN	Q99543
CCHL_HUMAN	P53701
PLSI_HUMAN;PLST_HUMAN	Q14651
AT1B1_HUMAN	P05026
NRX1A_HUMAN	Q9ULB1
NRX3A_HUMAN	Q9Y4C0
GLNA_HUMAN	P15104
SARDH_HUMAN	Q9UL12
TSP2_HUMAN	P35442
TBA3E_HUMAN;TBA4A_HUMAN	Q6PEY2
PTPRD_HUMAN;PTPRS_HUMAN	P23468
OLFL1_HUMAN	Q6UWY5
HLAC_HUMAN	P10321
RT29_HUMAN	P51398
F262_HUMAN	O60825
SYN2_HUMAN	Q92777
SYN1_HUMAN	P17600
COAA1_HUMAN	Q03692
TPP1_HUMAN	O14773
NH2L1_HUMAN	P55769
VPS8_HUMAN	Q8N3P4
RM01_HUMAN	Q9BYD6
MFF_HUMAN	Q9GZY8
1433G_HUMAN	P61981
RBM19_HUMAN	Q9Y4C8
SAMP_HUMAN	P02743
CARL2_HUMAN	Q6F5E8
NDUAB_HUMAN	Q86Y39
ANXA2_HUMAN;AXA2L_HUMAN	P07355
NB5R2_HUMAN	Q6BCY4
SCRB2_HUMAN	Q14108
EDEM3_HUMAN	Q9BZQ6
CDK9_HUMAN	P50750
EIF3F_HUMAN	O00303
MESD_HUMAN	Q14696
RRS1_HUMAN	Q15050
C163A_HUMAN	Q86VB7
EMAL5_HUMAN	Q05BV3
KVD13_HUMAN	A0A0B4J2D9
KV106_HUMAN	A0A0C4DH72
NDUA8_HUMAN	P51970
ANR44_HUMAN	Q8N8A2
IDHP_HUMAN	P48735
CC177_HUMAN	Q9NQR7
RS27A_HUMAN	P62979
ALBU_HUMAN;CONTAMINANT_ALBU_BOVIN	P02768
ACTC_HUMAN	P68032
IL1AP_HUMAN	Q9NPH3
MCM6_HUMAN	Q14566
KV109_HUMAN	A0A0C4DH69
KV137_HUMAN	A0A075B6S9
KVD33_HUMAN	P01593
KV116_HUMAN;KVD33_HUMAN	P04430
KV117_HUMAN;KVD33_HUMAN	P01599
RAP1A_HUMAN	P62834
ODPA_HUMAN	P08559
ITB5_HUMAN	P18084
DHR11_HUMAN	Q6UWP2
ODPAT_HUMAN	P29803
TSSK1_HUMAN	Q9BXA7
GABR1_HUMAN	Q9UBS5
DCTN2_HUMAN	Q13561
SMAD4_HUMAN	Q13485
KPCB_HUMAN	P05771
ITB2_HUMAN	P05107
ACTB_HUMAN	P60709
TRXR1_HUMAN	Q16881
LSAMP_HUMAN	Q13449
FBN1_HUMAN	P35555
FBN2_HUMAN	P35556
FLOT2_HUMAN	Q14254
ACTA_HUMAN	P62736
ACTH_HUMAN	P63267
GDAP1_HUMAN	Q8TB36
EIF3D_HUMAN	O15371
MED15_HUMAN	Q96RN5
PUR1_HUMAN	Q06203
INT13_HUMAN	Q9NVM9
PECA1_HUMAN	P16284
LIMS2_HUMAN	Q7Z4I7
KPCE_HUMAN	Q02156
GPX1_HUMAN	P07203
PGCB_HUMAN	Q96GW7
ANK2_HUMAN;ANK3_HUMAN	Q01484
BIRC6_HUMAN	Q9NR09
LYNX1_HUMAN	P0DP58
TMED4_HUMAN;TMED9_HUMAN	Q7Z7H5
TMED9_HUMAN	Q9BVK6
CTL2_HUMAN	Q8IWA5
RPAC1_HUMAN	O15160
TF_HUMAN	P13726
PSPC1_HUMAN	Q8WXF1
TPM4_HUMAN	P67936
HDGF_HUMAN	P51858
ICAL_HUMAN	P20810
AT2B3_HUMAN	Q16720
AT2B4_HUMAN	P23634
SBP1_HUMAN	Q13228
LYPA1_HUMAN	O75608
PP2AA_HUMAN;PP2AB_HUMAN	P67775
AT2A3_HUMAN	Q93084
YF001_HUMAN	Q8N1X5
PDLI1_HUMAN	O00151
AMPD2_HUMAN	Q01433
PI42C_HUMAN	Q8TBX8
GIMA1_HUMAN	Q8WWP7
NDUS8_HUMAN	O00217
ARP10_HUMAN	Q9NZ32
DYSF_HUMAN	O75923
RMC1_HUMAN	Q96DM3
SLIRP_HUMAN	Q9GZT3
ERLEC_HUMAN	Q96DZ1
G6PD_HUMAN	P11413
CALR_HUMAN	P27797
RINI_HUMAN	P13489
TOM40_HUMAN	O96008
LAS1L_HUMAN	Q9Y4W2
GDIA_HUMAN	P31150
GDIB_HUMAN	P50395
PHF24_HUMAN	Q9UPV7
SNX32_HUMAN	Q86XE0
YJU2_HUMAN	Q9BW85
EMAL2_HUMAN	O95834
SHRPN_HUMAN	Q9H0F6
GSTM3_HUMAN	P21266
EIF3C_HUMAN	Q99613
EAA2_HUMAN	P43004
DCE2_HUMAN	Q05329
GALK2_HUMAN	Q01415
GSDMD_HUMAN	P57764
CD158_HUMAN	Q5M9N0
MCAT_HUMAN	O43772
ENPLL_HUMAN	Q58FF3
URP2_HUMAN	Q86UX7
AKT3_HUMAN	Q9Y243
TOIP1_HUMAN	Q5JTV8
A4_HUMAN	P05067
RM27_HUMAN	Q9P0M9
PPGB_HUMAN	P10619
BASI_HUMAN	P35613
MYH10_HUMAN;MYH11_HUMAN;MYH14_HUMAN;MYH9_HUMAN	P35580
RUXF_HUMAN	P62306
ITPR1_HUMAN;ITPR2_HUMAN	Q14643
DC1L1_HUMAN;DC1L2_HUMAN	Q9Y6G9
POTEI_HUMAN;POTEJ_HUMAN	P0CG38
POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN	A5A3E0
POTEI_HUMAN	P0CG38
ACTB_HUMAN;ACTG_HUMAN	P60709
RS11_HUMAN	P62280
PPT1_HUMAN	P50897
AN32A_HUMAN	P39687
PGM2L_HUMAN	Q6PCE3
UBE2Z_HUMAN	Q9H832
CBX3_HUMAN;CBX5_HUMAN	Q13185
CBX1_HUMAN	P83916
SND1_HUMAN	Q7KZF4
HSP72_HUMAN	P54652
FUBP1_HUMAN	Q96AE4
ACTN1_HUMAN;ACTN2_HUMAN;ACTN4_HUMAN	P12814
ACTN1_HUMAN;ACTN2_HUMAN;ACTN3_HUMAN;ACTN4_HUMAN	P12814
SLIT1_HUMAN	O75093
CADM3_HUMAN	Q8N126
NIBA1_HUMAN	Q9BZQ8
FUBP3_HUMAN	Q96I24
ATP4A_HUMAN	P20648
DCTP1_HUMAN	Q9H773
5NTD_HUMAN	P21589
MIC19_HUMAN	Q9NX63
PDC6I_HUMAN	Q8WUM4
SFPQ_HUMAN	P23246
NADC_HUMAN	Q15274
TPC10_HUMAN	P48553
ADA23_HUMAN	O75077
EXOS9_HUMAN	Q06265
PKHO2_HUMAN	Q8TD55
LPP_HUMAN	Q93052
PROF1_HUMAN	P07737
PROF2_HUMAN	P35080
GNB5_HUMAN	O14775
IGS21_HUMAN	Q96ID5
CPVL_HUMAN	Q9H3G5
RL12_HUMAN	P30050
RLBP1_HUMAN	P12271
GAS7_HUMAN	O60861
FBLN4_HUMAN	O95967
VAPB_HUMAN	O95292
VAPA_HUMAN	Q9P0L0
TATD1_HUMAN	Q6P1N9
RP3A_HUMAN	Q9Y2J0
CPNE6_HUMAN	O95741
TAP1_HUMAN	Q03518
DNJA1_HUMAN	P31689
STRAP_HUMAN	Q9Y3F4
NUDC3_HUMAN	Q8IVD9
STON1_HUMAN	Q9Y6Q2
ADDA_HUMAN	P35611
BDH2_HUMAN	Q9BUT1
SSDH_HUMAN	P51649
ANK1_HUMAN	P16157
GEMI5_HUMAN	Q8TEQ6
ALR_HUMAN	P55789
MFS10_HUMAN	Q14728
KS6C1_HUMAN	Q96S38
ATAD1_HUMAN	Q8NBU5
RAGP1_HUMAN	P46060
RMND1_HUMAN	Q9NWS8
KLC1_HUMAN	Q07866
S11IP_HUMAN	Q8N1F8
TRIQK_HUMAN	Q629K1
GP143_HUMAN	P51810
ECI1_HUMAN	P42126
PRAF1_HUMAN	Q9UI14
SRSF2_HUMAN	Q01130
CO6A1_HUMAN	P12109
KCNC2_HUMAN	Q96PR1
CYRIB_HUMAN	Q9NUQ9
FA81A_HUMAN	Q8TBF8
DCK_HUMAN	P27707
RTN3_HUMAN	O95197
STUM_HUMAN	Q69YW2
PARVA_HUMAN;PARVB_HUMAN	Q9NVD7
BIG1_HUMAN;BIG2_HUMAN	Q9Y6D6
NDUA9_HUMAN	Q16795
CABP1_HUMAN	Q9NZU7
CTL1_HUMAN	Q8WWI5
TM9S3_HUMAN	Q9HD45
CNTP2_HUMAN	Q9UHC6
PALLD_HUMAN	Q8WX93
RBM22_HUMAN	Q9NW64
MAGI2_HUMAN	Q86UL8
BIP_HUMAN	P11021
PAK1_HUMAN	Q13153
OXSM_HUMAN	Q9NWU1
PGAM4_HUMAN	Q8N0Y7
WDR17_HUMAN	Q8IZU2
PR38A_HUMAN	Q8NAV1
APC7_HUMAN	Q9UJX3
MCU_HUMAN	Q8NE86
MRE11_HUMAN	P49959
ARF6_HUMAN	P62330
EXOC1_HUMAN	Q9NV70
ASC_HUMAN	Q9ULZ3
ODPB_HUMAN	P11177
CYRIA_HUMAN	Q9H0Q0
MYP0_HUMAN	P25189
WDR3_HUMAN	Q9UNX4
MYCB2_HUMAN	O75592
S27A4_HUMAN	Q6P1M0
CPSF1_HUMAN	Q10570
SPTB1_HUMAN;SPTB2_HUMAN;SPTN2_HUMAN;SPTN4_HUMAN	P11277
CPXM1_HUMAN	Q96SM3
GBG10_HUMAN	P50151
ATD3A_HUMAN	Q9NVI7
RM19_HUMAN	P49406
IQEC3_HUMAN	Q9UPP2
PLCC_HUMAN	Q9NRZ7
PGRC2_HUMAN	O15173
KCC4_HUMAN	Q16566
SPIR1_HUMAN	Q08AE8
APOC3_HUMAN	P02656
TAF9B_HUMAN	Q9HBM6
SC24A_HUMAN	O95486
PURG_HUMAN	Q9UJV8
RFC2_HUMAN	P35250
ELAV1_HUMAN	Q15717
ELAV2_HUMAN;ELAV3_HUMAN;ELAV4_HUMAN	Q12926
ELAV2_HUMAN;ELAV3_HUMAN	Q12926
ELAV4_HUMAN	P26378
RIMS1_HUMAN	Q86UR5
CND2_HUMAN	Q15003
MUC18_HUMAN	P43121
TENX_HUMAN	P22105
IF2M_HUMAN	P46199
IF2B_HUMAN	P20042
RAB3B_HUMAN	P20337
IGHA2_HUMAN	P01877
IGHA1_HUMAN	P01876
PDIA3_HUMAN	P30101
TCPB_HUMAN	P78371
KCC1G_HUMAN	Q96NX5
LRWD1_HUMAN	Q9UFC0
VP26C_HUMAN	O14972
ROCK2_HUMAN	O75116
DTX3_HUMAN	Q8N9I9
RAB9A_HUMAN	P51151
DC1L2_HUMAN	O43237
RTF2_HUMAN	Q9BY42
LRCH3_HUMAN	Q96II8
ARF5_HUMAN	P84085
SFXN4_HUMAN	Q6P4A7
U3IP2_HUMAN	O43818
PSB3_HUMAN	P49720
TARA_HUMAN	Q9H2D6
STK39_HUMAN	Q9UEW8
API5_HUMAN	Q9BZZ5
WBP2_HUMAN	Q969T9
TPIS_HUMAN	P60174
KCC1D_HUMAN	Q8IU85
TBC23_HUMAN	Q9NUY8
HPCL4_HUMAN	Q9UM19
HPCL1_HUMAN	P37235
HPCA_HUMAN	P84074
PTGR3_HUMAN	Q8N4Q0
TANC2_HUMAN	Q9HCD6
CTBP1_HUMAN;CTBP2_HUMAN	Q13363
FGOP2_HUMAN	Q9NVK5
UBA6_HUMAN	A0AVT1
MCFD2_HUMAN	Q8NI22
TSP1_HUMAN;TSP2_HUMAN	P07996
KHDR1_HUMAN	Q07666
CDC23_HUMAN	Q9UJX2
JIP3_HUMAN	Q9UPT6
NMDE2_HUMAN	Q13224
NED4L_HUMAN	Q96PU5
SEPP1_HUMAN	P49908
TAGL3_HUMAN	Q9UI15
CADM4_HUMAN	Q8NFZ8
TAGL2_HUMAN	P37802
COTL1_HUMAN	Q14019
ACL6A_HUMAN	O96019
PCD17_HUMAN	O14917
SPT5H_HUMAN	O00267
GP158_HUMAN	Q5T848
TMX3_HUMAN	Q96JJ7
SAM50_HUMAN	Q9Y512
ATG13_HUMAN	O75143
AK1BF_HUMAN	C9JRZ8
LAP2A_HUMAN;LAP2B_HUMAN	P42166
STX3_HUMAN	Q13277
RBGP1_HUMAN	Q9Y3P9
TWF2_HUMAN	Q6IBS0
ITB3_HUMAN	P05106
PDPR_HUMAN	Q8NCN5
TCP4_HUMAN	P53999
RIOX2_HUMAN	Q8IUF8
TCPR1_HUMAN	Q7Z6L1
RL3L_HUMAN	Q92901
S4A10_HUMAN	Q6U841
TBD2B_HUMAN	Q9UPU7
VISL1_HUMAN	P62760
TKT_HUMAN	P29401
BCAM_HUMAN	P50895
RB6I2_HUMAN	Q8IUD2
STXB5_HUMAN	Q5T5C0
JAM3_HUMAN	Q9BX67
RIR1_HUMAN	P23921
XRCC4_HUMAN	Q13426
RAB4A_HUMAN	P20338
QCR7_HUMAN	P14927
LDHA_HUMAN	P00338
ITM2B_HUMAN	Q9Y287
TFCP2_HUMAN	Q12800
GTPB1_HUMAN	O00178
THOC3_HUMAN	Q96J01
WBP11_HUMAN	Q9Y2W2
PRAME_HUMAN	P78395
CCAR1_HUMAN	Q8IX12
CRAC1_HUMAN	Q9NQ79
NMDE1_HUMAN	Q12879
NPM3_HUMAN	O75607
GGT7_HUMAN	Q9UJ14
RHG21_HUMAN	Q5T5U3
TECR_HUMAN	Q9NZ01
PPCEL_HUMAN	Q4J6C6
PQBP1_HUMAN	O60828
RHOB_HUMAN	P62745
CHLE_HUMAN	P06276
THY1_HUMAN	P04216
RFIP5_HUMAN	Q9BXF6
ABHGA_HUMAN	O95870
MPPA_HUMAN	Q10713
MSH3_HUMAN	P20585
HD_HUMAN	P42858
2ABA_HUMAN;2ABD_HUMAN	P63151
2ABA_HUMAN	P63151
PKHA6_HUMAN	Q9Y2H5
BRE1B_HUMAN	O75150
RL9_HUMAN	P32969
NFIX_HUMAN	Q14938
NFIC_HUMAN	P08651
RMD5A_HUMAN	Q9H871
NDRG3_HUMAN	Q9UGV2
CTNA3_HUMAN	Q9UI47
IF4A3_HUMAN	P38919
DESM_HUMAN	P17661
IAH1_HUMAN	Q2TAA2
PTPRS_HUMAN	Q13332
TTC19_HUMAN	Q6DKK2
S2546_HUMAN	Q96AG3
GIMA8_HUMAN	Q8ND71
CPSF2_HUMAN	Q9P2I0
BIN2_HUMAN	Q9UBW5
AL7A1_HUMAN	P49419
YAP1_HUMAN	P46937
RL35A_HUMAN	P18077
TAF4_HUMAN	O00268
GBP1_HUMAN	P32455
PK1IP_HUMAN	Q9NWT1
CAPZB_HUMAN	P47756
HEAT1_HUMAN	Q9H583
CD9_HUMAN	P21926
SCRN2_HUMAN	Q96FV2
RM39_HUMAN	Q9NYK5
ARHG2_HUMAN	Q92974
MIME_HUMAN	P20774
PROZ_HUMAN	P22891
TM222_HUMAN	Q9H0R3
SUN2_HUMAN	Q9UH99
FBLN2_HUMAN	P98095
NHSL1_HUMAN	Q5SYE7
SYDM_HUMAN	Q6PI48
EXOC8_HUMAN	Q8IYI6
PLCL1_HUMAN	Q15111
ELP1_HUMAN	O95163
SYYM_HUMAN	Q9Y2Z4
G3BP1_HUMAN	Q13283
SYNE3_HUMAN	Q6ZMZ3
THUM3_HUMAN	Q9BV44
EDIL3_HUMAN	O43854
SYAP1_HUMAN	Q96A49
AP2D_HUMAN	Q7Z6R9
MAST1_HUMAN	Q9Y2H9
LIPL_HUMAN	P06858
EIF3M_HUMAN	Q7L2H7
BAZ1A_HUMAN	Q9NRL2
PP4C_HUMAN	P60510
PPIL4_HUMAN	Q8WUA2
C1TM_HUMAN	Q6UB35
D2HDH_HUMAN	Q8N465
TMX1_HUMAN	Q9H3N1
DYN3_HUMAN	Q9UQ16
ABLM3_HUMAN	O94929
TMM65_HUMAN	Q6PI78
GCP60_HUMAN	Q9H3P7
PSIP1_HUMAN	O75475
ADT3_HUMAN	P12236
ADT1_HUMAN	P12235
DDX3X_HUMAN	O00571
UBP31_HUMAN	Q70CQ4
ITIH3_HUMAN	Q06033
CPNE1_HUMAN	Q99829
DX39A_HUMAN;DX39B_HUMAN	O00148
RL38_HUMAN	P63173
GCYA1_HUMAN	Q02108
THAS_HUMAN	P24557
A2AP_HUMAN	P08697
EPHA4_HUMAN	P54764
DAB2P_HUMAN	Q5VWQ8
MERB1_HUMAN	Q96MC5
PI4KA_HUMAN	P42356
PPIB_HUMAN	P23284
PPIL1_HUMAN	Q9Y3C6
PPIG_HUMAN	Q13427
ACOC_HUMAN	P21399
PDLI5_HUMAN	Q96HC4
PYGL_HUMAN	P06737
PYGM_HUMAN	P11217
PDLI7_HUMAN	Q9NR12
HECD3_HUMAN	Q5T447
PDIA4_HUMAN	P13667
DLG3_HUMAN	Q92796
NDUS3_HUMAN	O75489
PADI2_HUMAN	Q9Y2J8
RCOR3_HUMAN	Q9P2K3
MAAI_HUMAN	O43708
MMAA_HUMAN	Q8IVH4
LARP1_HUMAN	Q6PKG0
MTURN_HUMAN	Q8N3F0
VATC1_HUMAN	P21283
PDLI4_HUMAN	P50479
MFAP1_HUMAN	P55081
7B2_HUMAN	P05408
MTOR_HUMAN	P42345
ATPK_HUMAN	P56134
PPME1_HUMAN	Q9Y570
AVL9_HUMAN	Q8NBF6
STX12_HUMAN	Q86Y82
3HIDH_HUMAN	P31937
IC1_HUMAN	P05155
IPSP_HUMAN	P05154
PGRC1_HUMAN	O00264
PRDX6_HUMAN	P30041
AT1A3_HUMAN	P13637
ACACA_HUMAN;ACACB_HUMAN	Q13085
BAF_HUMAN	O75531
FAKD4_HUMAN	Q969Z0
STAR5_HUMAN	Q9NSY2
DPP10_HUMAN	Q8N608
GRM2_HUMAN	Q14416
AFG32_HUMAN	Q9Y4W6
PMVK_HUMAN	Q15126
ZCHC3_HUMAN	Q9NUD5
PYGB_HUMAN	P11216
GAR1_HUMAN	Q9NY12
HEXA_HUMAN	P06865
LIPA4_HUMAN	O75335
PB1_HUMAN	Q86U86
MRP1_HUMAN	P33527
KCNQ2_HUMAN	O43526
CCN2_HUMAN	P29279
SMAG2_HUMAN	Q5PRF9
EI2BA_HUMAN	Q14232
RFTN1_HUMAN	Q14699
ERP29_HUMAN	P30040
CH10_HUMAN	P61604
CO4A1_HUMAN	P02462
SETB1_HUMAN	Q15047
CO1A1_HUMAN	P02452
CUL1_HUMAN	Q13616
HLAA_HUMAN;HLAB_HUMAN;HLAC_HUMAN;HLAH_HUMAN	P04439
HLAA_HUMAN;HLAC_HUMAN;HLAH_HUMAN	P04439
HLAB_HUMAN	P01889
HLAG_HUMAN	P17693
HLAF_HUMAN	P30511
PUM3_HUMAN	Q15397
NOMO1_HUMAN	Q15155
SUOX_HUMAN	P51687
CO5A2_HUMAN	P05997
HPS5_HUMAN	Q9UPZ3
EFHD1_HUMAN;EFHD2_HUMAN	Q9BUP0
NRX2A_HUMAN;NRX3A_HUMAN	Q9P2S2
IGLO5_HUMAN	A6NGN9
CO7_HUMAN	P10643
TF65_HUMAN	Q04206
LTBP4_HUMAN	Q8N2S1
SAHH3_HUMAN	Q96HN2
ALAT1_HUMAN	P24298
ANR29_HUMAN	Q8N6D5
MEST_HUMAN	Q5EB52
GNAI3_HUMAN	P08754
POSTN_HUMAN;sp|CONTAMINANT_Q2KJC7	Q15063
SN_HUMAN	Q9BZZ2
CAH3_HUMAN	P07451
HDAC2_HUMAN	Q92769
STAG1_HUMAN;STAG2_HUMAN	Q8WVM7
E2AK2_HUMAN	P19525
ERGI3_HUMAN	Q9Y282
FXL20_HUMAN	Q96IG2
PSB7_HUMAN	Q99436
S12A5_HUMAN;S12A7_HUMAN	Q9H2X9
WDR37_HUMAN	Q9Y2I8
PCDGM_HUMAN	Q9Y5F6
CCZ1_HUMAN	P86791
PERI_HUMAN	P41219
ACTN4_HUMAN;SPTN4_HUMAN	O43707
HDHD2_HUMAN	Q9H0R4
NOM1_HUMAN	Q5C9Z4
PARK7_HUMAN	Q99497
FUCO_HUMAN	P04066
VWA8_HUMAN	A3KMH1
EHD1_HUMAN	Q9H4M9
PKHB1_HUMAN	Q9UF11
CC115_HUMAN	Q96NT0
PTCD1_HUMAN	O75127
RGPA1_HUMAN	Q6GYQ0
RGN_HUMAN	Q15493
DJB11_HUMAN	Q9UBS4
ZO2_HUMAN	Q9UDY2
NCHL1_HUMAN	O00533
GLSK_HUMAN	O94925
AT1A2_HUMAN;AT1A3_HUMAN	P50993
RACK1_HUMAN	P63244
RHDF2_HUMAN	Q6PJF5
THNS1_HUMAN	Q8IYQ7
LSG1_HUMAN	Q9H089
SF01_HUMAN	Q15637
SYLC_HUMAN	Q9P2J5
COQ9_HUMAN	O75208
PPID_HUMAN	Q08752
CPNE5_HUMAN;CPNE9_HUMAN	Q9HCH3
WDR5_HUMAN	P61964
PGRP2_HUMAN	Q96PD5
PSB9_HUMAN	P28065
DIP2C_HUMAN	Q9Y2E4
OFUT1_HUMAN	Q9H488
PIGU_HUMAN	Q9H490
LBR_HUMAN	Q14739
ICAM1_HUMAN	P05362
SRSF1_HUMAN	Q07955
FMNL3_HUMAN	Q8IVF7
ESF1_HUMAN	Q9H501
ASSY_HUMAN	P00966
SODC_HUMAN	P00441
RL23_HUMAN	P62829
NUD16_HUMAN	Q96DE0
SRSF9_HUMAN	Q13242
SYPM_HUMAN	Q7L3T8
GTR3_HUMAN	P11169
RED_HUMAN	Q13123
YBOX3_HUMAN	P16989
RHOA_HUMAN	P61586
PIR_HUMAN	O00625
CANB1_HUMAN;CANB2_HUMAN	P63098
CANB1_HUMAN	P63098
F219A_HUMAN	Q8IW50
RO52_HUMAN	P19474
RS21_HUMAN	P63220
LMAN2_HUMAN	Q12907
PLXA4_HUMAN	Q9HCM2
SEM4A_HUMAN	Q9H3S1
NUD16_HUMAN;TIRR_HUMAN	Q96DE0
NDUF4_HUMAN	Q9P032
UBE3A_HUMAN	Q05086
RNPS1_HUMAN	Q15287
PNPH_HUMAN	P00491
SPRE1_HUMAN	Q7Z699
CPN2_HUMAN	P22792
IREB2_HUMAN	P48200
LRBA_HUMAN	P50851
STX10_HUMAN	O60499
SPTC1_HUMAN	O15269
KLC1_HUMAN;KLC2_HUMAN	Q07866
UBC9_HUMAN	P63279
SEM4D_HUMAN	Q92854
ZN622_HUMAN	Q969S3
BNI3L_HUMAN	O60238
DRG1_HUMAN	Q9Y295
JUPI2_HUMAN	Q9H910
SORC2_HUMAN	Q96PQ0
CAZA1_HUMAN	P52907
KGUA_HUMAN	Q16774
HSDL1_HUMAN	Q3SXM5
BL1S2_HUMAN	Q6QNY1
TTC17_HUMAN	Q96AE7
SCAI_HUMAN	Q8N9R8
OCRL_HUMAN	Q01968
SBDS_HUMAN	Q9Y3A5
CPNE9_HUMAN	Q8IYJ1
ZN806_HUMAN	P0C7X5
1433Z_HUMAN	P63104
GPX4_HUMAN	P36969
HNRPU_HUMAN	Q00839
IDH3G_HUMAN	P51553
SMCA5_HUMAN	O60264
LMAN1_HUMAN	P49257
DLRB1_HUMAN;DLRB2_HUMAN	Q9NP97
DLRB1_HUMAN	Q9NP97
ODP2_HUMAN	P10515
TRI36_HUMAN	Q9NQ86
G6PE_HUMAN	O95479
WLS_HUMAN	Q5T9L3
NACAD_HUMAN	O15069
NACAM_HUMAN;NACA_HUMAN	E9PAV3
RAD50_HUMAN	Q92878
DGKG_HUMAN	P49619
SUCB2_HUMAN	Q96I99
GBP5_HUMAN	Q96PP8
LGI3_HUMAN	Q8N145
NCKX2_HUMAN	Q9UI40
CERU_HUMAN;CONTAMINANT_ENSBTAP00000031900	P00450
RL5_HUMAN	P46777
DIAC_HUMAN	Q01459
ELMO1_HUMAN;ELMO2_HUMAN	Q92556
DDX47_HUMAN	Q9H0S4
MAGD2_HUMAN	Q9UNF1
MYO1E_HUMAN;MYO1F_HUMAN	Q12965
NB5R1_HUMAN	Q9UHQ9
FRPD1_HUMAN	Q5SYB0
CAD10_HUMAN	Q9Y6N8
PEA15_HUMAN	Q15121
FAKD2_HUMAN	Q9NYY8
PSMD7_HUMAN	P51665
ACTS_HUMAN	P68133
ACTA_HUMAN;ACTC_HUMAN;ACTH_HUMAN;ACTS_HUMAN	P62736
ACTC_HUMAN;ACTH_HUMAN;ACTS_HUMAN	P68032
HINT3_HUMAN	Q9NQE9
ST38L_HUMAN	Q9Y2H1
MRCKB_HUMAN	Q9Y5S2
STK11_HUMAN	Q15831
GSK3B_HUMAN	P49841
GSK3A_HUMAN	P49840
KKCC1_HUMAN	Q8N5S9
KKCC2_HUMAN	Q96RR4
RN123_HUMAN	Q5XPI4
KS6A2_HUMAN	Q15349
BIG2_HUMAN	Q9Y6D5
NT5D2_HUMAN	Q9H857
NPL_HUMAN	Q9BXD5
RS16_HUMAN	P62249
LAP2B_HUMAN	P42167
EXOS2_HUMAN	Q13868
RIN1_HUMAN	Q13671
DOCK2_HUMAN	Q92608
VRK1_HUMAN	Q99986
ZY11B_HUMAN	Q9C0D3
GOLI_HUMAN	Q86XS8
DDX23_HUMAN	Q9BUQ8
5NTC_HUMAN	P49902
CATB_HUMAN	P07858
CUL4B_HUMAN	Q13620
ACSS3_HUMAN	Q9H6R3
NEC2_HUMAN	P16519
UBC12_HUMAN	P61081
FMR1_HUMAN	Q06787
RS6_HUMAN	P62753
FKBP9_HUMAN	O95302
ERLN2_HUMAN	O94905
PSMD8_HUMAN	P48556
KNG1_HUMAN	P01042
TRIPC_HUMAN	Q14669
CAD13_HUMAN	P55290
TYRP2_HUMAN	P40126
UBP10_HUMAN	Q14694
RS26_HUMAN	P62854
SNW1_HUMAN	Q13573
CFAB_HUMAN	P00751
RASL1_HUMAN	O95294
TRIPB_HUMAN	Q15643
MTA3_HUMAN	Q9BTC8
SRBS1_HUMAN	Q9BX66
ARI1_HUMAN	Q9Y4X5
TTC27_HUMAN	Q6P3X3
MTA2_HUMAN	O94776
MTA1_HUMAN	Q13330
AN32B_HUMAN	Q92688
HS105_HUMAN;HS74L_HUMAN	Q92598
PANK2_HUMAN	Q9BZ23
PCP_HUMAN	P42785
CCNY_HUMAN	Q8ND76
ARP3B_HUMAN;ARP3_HUMAN	Q9P1U1
DGKB_HUMAN	Q9Y6T7
MOCS1_HUMAN	Q9NZB8
AK1C3_HUMAN	P42330
PYGB_HUMAN;PYGM_HUMAN	P11216
CADH6_HUMAN	P55285
PAPS1_HUMAN	O43252
CPNE2_HUMAN;CPNE3_HUMAN;CPNE4_HUMAN;CPNE5_HUMAN;CPNE6_HUMAN;CPNE7_HUMAN;CPNE8_HUMAN;CPNE9_HUMAN	Q96FN4
ACSL3_HUMAN	O95573
CALU_HUMAN	O43852
ARGI1_HUMAN	P05089
CCNB1_HUMAN	P14635
RB39B_HUMAN	Q96DA2
DRB5_HUMAN	Q30154
ABI1_HUMAN	Q8IZP0
ASH2L_HUMAN	Q9UBL3
TXLNA_HUMAN	P40222
NPS3A_HUMAN	Q9UFN0
